"FLIR_ID_Year","FLIR_ID","site","date","year","time","survey_time","photo_type","determined_usage","water","air_temperature_c","humidity","microhabitat_type","distance_from_object_m","meter_marker","marker_number","direction","record_id","latitude.x","longitude.x","latitude.y","longitude.y","observer","FLIR_ID_Date","Notes","id","mean","median","min","max","sd","perc_5","perc_95","SHDI","hot_pixels","cold_pixels","hot_mean","cold_mean"
"FLIR1949_2023","FLIR1949","Wood Lab Pond",2023-07-03,2023,"22:31","Night","transect","good","y",21.1,88.7,NA,1.52,2,NA,"South","16411281-85e1-4643-9fca-86c123aa4c91",41.56823316,-80.45164749,41.56821749,-80.45142919,"Rachel Verdi","FLIR1949_2023-07","","FLIR1949_2023.jpg",20.1616794880261,20.1678469766506,19.6106597055643,20.3511092021186,0.0592692250266655,20.086891741242,20.2325651569803,0,3503,3561,20.253647371936,19.9853866148624
"FLIR1951_2023","FLIR1951","Wood Lab Pond",2023-07-03,2023,"22:32","Night","transect","good","y",21.1,88.7,NA,1.46,2,NA,"East","16411281-85e1-4643-9fca-86c123aa4c91",41.56822911,-80.45163178,41.56821749,-80.45142919,"Rachel Verdi","FLIR1951_2023-07","","FLIR1951_2023.jpg",19.6792559387451,19.6974126260373,18.9740228235984,20.0760928747342,0.134970660547089,19.458664287456,19.8598759383563,0.319467994125056,3834,3822,19.904593844518,19.3801069839545
"FLIR1953_2023","FLIR1953","Wood Lab Pond",2023-07-03,2023,"22:32","Night","transect","good","y",21.1,88.7,NA,1.49,2,NA,"West","16411281-85e1-4643-9fca-86c123aa4c91",41.56821817,-80.45161473,41.56821749,-80.45142919,"Rachel Verdi","FLIR1953_2023-07","","FLIR1953_2023.jpg",19.7034443335025,19.7082515576718,19.2084639722322,20.054491725046,0.08553872222077,19.5455465621322,19.8274039375824,0.146320083927649,3357,3761,19.8495048329363,19.47122669641
"FLIR1955_2023","FLIR1955","Wood Lab Pond",2023-07-03,2023,"22:32","Night","transect","good","y",21.1,88.7,NA,1.48,0,NA,"North","16411281-85e1-4643-9fca-86c123aa4c91",41.56821878,-80.45160638,41.56821749,-80.45142919,"Rachel Verdi","FLIR1955_2023-07","","FLIR1955_2023.jpg",19.7626843804279,19.7624289625178,19.4858229569149,20.0706930144615,0.0914342722163453,19.616083924736,19.9085646077494,0.00186343985457526,3435,3822,19.9476483296307,19.5790205927774
"FLIR1957_2023","FLIR1957","Wood Lab Pond",2023-07-03,2023,"22:33","Night","transect","good","y",21.1,88.7,NA,1.51,0,NA,"South","16411281-85e1-4643-9fca-86c123aa4c91",41.5682378,-80.45163053,41.56821749,-80.45142919,"Rachel Verdi","FLIR1957_2023-07","","FLIR1957_2023.jpg",20.4511836004956,20.4533781030042,19.7082515576718,20.6307615272255,0.066805808931572,20.3511092021186,20.544795654288,0.533903581989063,3291,3425,20.5656396258934,20.2794854448702
"FLIR1959_2023","FLIR1959","Wood Lab Pond",2023-07-03,2023,"22:33","Night","transect","good","y",21.1,88.7,NA,1.52,0,NA,"East","16411281-85e1-4643-9fca-86c123aa4c91",41.56824999,-80.45162848,41.56821749,-80.45142919,"Rachel Verdi","FLIR1959_2023-07","","FLIR1959_2023.jpg",20.1870113318796,20.1948178500728,19.7028322357133,20.5770412758707,0.105731638945603,19.9950650534433,20.356494315698,0.00355804553127311,3542,3583,20.3865431888792,19.9469379257571
"FLIR1961_2023","FLIR1961","Wood Lab Pond",2023-07-03,2023,"22:34","Night","transect","good","y",21.1,88.7,NA,1.49,0,NA,"West","16411281-85e1-4643-9fca-86c123aa4c91",41.56824985,-80.4516301,41.56821749,-80.45142919,"Rachel Verdi","FLIR1961_2023-07","","FLIR1961_2023.jpg",20.0144223475953,20.0274838780873,19.5129743890327,20.1786361775863,0.0774692618355084,19.8544646545843,20.1030879065607,0,3279,3747,20.1194504094335,19.7710670522125
"FLIR1857_2023","FLIR1857","RV Pond",2023-06-28,2023,"21:35","Night","transect","good","y",15.6,89.9,NA,1.5,10,NA,"North","8f16c913-9286-48fb-ae36-32effbc652ab",41.69187617,-80.5010083,41.69106753,-80.49971692,"Rachel Verdi","FLIR1857_2023-06","","FLIR1857_2023.jpg",15.8160065685425,15.9261524870023,14.3892254944703,17.3785400497796,0.594464378161718,14.6803110464132,16.7164260139142,0.840871244546871,3816,3716,16.9538467799589,14.5965191801849
"FLIR1861_2023","FLIR1861","RV Pond",2023-06-28,2023,"21:37","Night","transect","good","n",15.6,89.9,NA,1.48,10,NA,"East","8f16c913-9286-48fb-ae36-32effbc652ab",41.69188457,-80.50101025,41.69106753,-80.49971692,"Rachel Verdi","FLIR1861_2023-06","","FLIR1861_2023.jpg",15.3466309438209,15.5088572398554,14.131661033528,16.4760875614016,0.584683735656404,14.4063722513453,16.1004422321904,0.95955032800441,3757,3773,16.1901829191666,14.3437723484799
"FLIR1867_2023","FLIR1867","RV Pond",2023-06-28,2023,"21:39","Night","transect","good","n",15.6,89.9,NA,1.7,8,NA,"South","8f16c913-9286-48fb-ae36-32effbc652ab",41.69191055,-80.50100958,41.69106753,-80.49971692,"Rachel Verdi","FLIR1867_2023-06","","FLIR1867_2023.jpg",17.2513457097886,16.7833936133037,14.4520821894726,20.2595190150534,2.1356478671106,14.7885331328933,20.086891741242,1.52724187340496,3775,3829,20.1331076442284,14.7020106485007
"FLIR1873_2023","FLIR1873","RV Pond",2023-06-28,2023,"21:41","Night","transect","good","n",15.6,89.9,NA,1.45,6,NA,"North","8f16c913-9286-48fb-ae36-32effbc652ab",41.69190322,-80.50102253,41.69106753,-80.49971692,"Rachel Verdi","FLIR1873_2023-06","","FLIR1873_2023.jpg",16.9101268137456,16.8280136503265,14.4863505799001,18.3827906231668,0.767011511157921,15.486250296876,18.0748576781385,1.19123487146375,3839,3832,18.1768599166624,15.076057893301
"FLIR1879_2023","FLIR1879","RV Pond",2023-06-28,2023,"21:42","Night","transect","good","n",15.6,89.9,NA,1.52,6,NA,"West","8f16c913-9286-48fb-ae36-32effbc652ab",41.69188321,-80.50104239,41.69106753,-80.49971692,"Rachel Verdi","FLIR1879_2023-06","","FLIR1879_2023.jpg",17.8864762760603,18.9903967651287,14.3549229228802,19.3825814627804,1.72739590909336,14.7372849804652,19.219355053571,1.06264017522135,3472,3711,19.2545262398333,14.6587392765594
"FLIR1881_2023","FLIR1881","RV Pond",2023-06-28,2023,"21:42","Night","transect","good","y",15.6,89.9,NA,1.38,4,NA,"North","8f16c913-9286-48fb-ae36-32effbc652ab",41.69189061,-80.5010398,41.69106753,-80.49971692,"Rachel Verdi","FLIR1881_2023-06","","FLIR1881_2023.jpg",14.8072345356566,14.7543706840115,13.8101799852378,16.195890206601,0.633360468859112,14.0169685659264,15.8191775193659,1.05890592715885,3691,3831,15.8980917102925,13.9663174404678
"FLIR1883_2023","FLIR1883","RV Pond",2023-06-28,2023,"21:43","Night","transect","good","y",15.6,89.9,NA,1.54,4,NA,"South","8f16c913-9286-48fb-ae36-32effbc652ab",41.69189434,-80.50102735,41.69106753,-80.49971692,"Rachel Verdi","FLIR1883_2023-06","","FLIR1883_2023.jpg",18.4980161254225,18.6897867229106,14.6518116117528,18.9794810977847,0.742769471159894,16.9116223518919,18.8429360168028,0.51544410666673,3419,3834,18.8712243629181,15.5037329315969
