"FLIR_ID_Date","photo_type","date","site"
"FLIR1845_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1847_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1849_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1851_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1853_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1857_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1859_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1861_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1863_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1865_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1869_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1871_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1873_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1875_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1879_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1881_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1883_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1885_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1887_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1889_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1891_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1893_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1895_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1897_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1899_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1901_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1903_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1905_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1907_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1909_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1911_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1915_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1917_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1919_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1723_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1727_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1729_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1731_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1733_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1735_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1737_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1739_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1741_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1743_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1745_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1747_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1749_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1751_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1753_2024-06","transect",2024-06-10,"Vorisek Pond"
